"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Curacao","CUW","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","3038699608.93855","3131096089.38547","3147616201.11732","3158406033.51955","3151910782.1229","3122287932.96089","3116610111.73184","3127908044.69274","3101787709.49721","",
"Cayman Islands","CYM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","4200439498.52838","4466438823.03247","4586114070.09916","4281868765.92454","4156990816.04561","4186223864.8445","4291158967.90881","4405954696.16336","4563017851.62436","4708336756.08849","4909498942.67103","5153091157.77225","5517361237.63423","","",
"Cyprus","CYP","GDP (current US$)","NY.GDP.MKTP.CD","9985844486.33365","10397897085.6102","11420227884.6154","14547325028.3126","17320552500","18433411267.2553","20072786350.5206","23968764029.5647","27844698989.3072","25945391775.4932","25732432719.0773","27565469097.9955","24978513426.6992","23900872625.8467","23156850006.6427","19842404304.8929","20953442550.3653","22729184365.1152","25309818138.8758","24948935408.0376","",
"Czech Republic","CZE","GDP (current US$)","NY.GDP.MKTP.CD","61828166496.0941","67808032979.5429","82196001050.7474","100090467581.268","119814434353.575","137143471328.274","156264095664.643","190183800884.018","236816485762.988","207434296805.33","209069940963.177","229562733398.948","208857719320.649","211685616592.931","209358834156.329","188033050459.881","196272068576.338","218628940951.675","248908731817.502","250680504529.647","",
"Germany","DEU","GDP (current US$)","NY.GDP.MKTP.CD","1943145384190.16","1944107382550.34","2068624129493.69","2496128668171.56","2809187981127.39","2845802760850.64","2992196713084.93","3421229126745.14","3730027830672.33","3397791053070.3","3396354075663.73","3744408602683.94","3527344944139.83","3732743446218.92","3883920155292.26","3356235704119.75","3467498002104.33","3682602479929.42","3963767526250.98","3861123558039.21","",
"Djibouti","DJI","GDP (current US$)","NY.GDP.MKTP.CD","551230861.856505","572417440.820162","591122039.601398","622044665.515049","666072101.777505","708633194.726566","768873684.032838","847918929.107984","999105339.267729","1049110684.72493","1128611700.3618","1239144501.77525","1353632941.5207","2042817162.85639","2214681573.56933","2430287967.02678","2603554906.59464","2751461055.59307","3012820409.63313","3324634256.13324","",
"Dominica","DMA","GDP (current US$)","NY.GDP.MKTP.CD","333468888.888889","340205074.074074","333195185.185185","343310666.666667","367199111.111111","364255074.074074","390250148.148148","421375851.851852","458190185.185185","489074333.333333","493825925.925926","501025925.925926","485996296.296296","498296296.296296","520207407.407407","540737037.037037","576229629.62963","519837037.037037","551074074.074074","582403703.703704","",
"Denmark","DNK","GDP (current US$)","NY.GDP.MKTP.CD","164158739097.623","164791442543.375","178635163717.431","218096033517.009","251373002954.382","264467336457.17","282884947702.966","319423424509.066","353361038818.383","321241303699.006","321995279401.502","344003137611.271","327148943812.137","343584391647.927","352993631617.708","302673070846.857","313115929314.339","332121063806.391","356879499797.896","350104327658.675","",
"Dominican Republic","DOM","GDP (current US$)","NY.GDP.MKTP.CD","24305116729.1701","25601765403.0896","27137508655.3127","21403167849.0353","22322395369.1384","35777570134.0385","37879869898.3451","43965420071.0915","48122547176.8322","48261033297.3001","53860175556.5208","58029750744.3809","60681537194.7076","62682163837.6521","67179914026.2773","71164825257.7372","75704720189.6204","79997975622.7604","85555378043.7999","88941299734.2073","",
"Algeria","DZA","GDP (current US$)","NY.GDP.MKTP.CD","54790233855.966","54744725765.7191","56760246981.7525","67863841333.4195","85325003122.0947","103198251003.394","117027321306.159","134845573817.762","171008067513.162","137206139022.712","161155315145.814","200254371997.255","209021250805.932","209724351221.97","213860450595.829","166361491140.753","159994837855.12","170163165960.516","175405660377.358","171091289782.245","",
